DATE,S&P500,JPX400,SSEC,KOSPI
2008-01-31,1378.55,11769.13,4383.39,1624.68
2008-02-01,1395.42,11706.36,4320.77,1634.53
2008-02-02,,,,1634.53
2008-02-03,,,,1634.53
2008-02-04,1380.82,11946.21,4672.17,1690.13
2008-02-05,1336.64,11875.88,4599.7,1696.57
2008-02-06,1326.45,11347.18,,1696.57
2008-02-07,1336.91,11411.25,,1696.57
2008-02-08,1331.29,11244.74,,1696.57
2008-02-09,,,,1696.57
2008-02-10,,,,1696.57
2008-02-11,1339.13,,,1640.67
2008-02-12,1348.86,11242.59,,1643.29
2008-02-13,1367.21,11255.28,4490.72,1631.78
2008-02-14,1348.86,11685.6,4552.32,1697.45
2008-02-15,1349.99,11713.17,4497.13,1694.77
2008-02-16,,,,1694.77
2008-02-17,,,,1694.77
2008-02-18,,11686.1,4568.15,1696.24
2008-02-19,1348.78,11776.29,4664.3,1720.52
2008-02-20,1360.03,11398.85,4567.03,1687.91
2008-02-21,1342.53,11691.14,4527.18,1704.36
2008-02-22,1353.11,11570.51,4370.28,1686.45
2008-02-23,,,,1686.45
2008-02-24,,,,1686.45
2008-02-25,1371.8,11876.4,4192.53,1709.13
2008-02-26,1381.29,11822.02,4238.18,1709.13
2008-02-27,1380.02,11960.81,4334.05,1720.89
2008-02-28,1367.68,11859.1,4299.51,1736.17
2008-02-29,1330.63,11604.61,4348.54,1711.62
2008-03-01,,,,1711.62
2008-03-02,,,,1711.62
2008-03-03,1331.34,11123.87,4438.27,1671.73
2008-03-04,1326.75,11084.12,4335.45,1676.18
2008-03-05,1333.7,11093.96,4292.65,1677.1
2008-03-06,1304.34,11292,4360.99,1697.44
2008-03-07,1293.37,10931.81,4300.52,1663.97
2008-03-08,,,,1663.97
2008-03-09,,,,1663.97
2008-03-10,1273.37,10721.23,4146.3,1625.17
2008-03-11,1320.65,10810.69,4165.88,1641.48
2008-03-12,1308.77,10974.28,4070.12,1658.83
2008-03-13,1315.48,10634.61,3971.26,1615.62
2008-03-14,1288.14,10441.33,3962.67,1600.26
2008-03-15,,,,1600.26
2008-03-16,,,,1600.26
2008-03-17,1276.6,10052,3820.05,1574.44
2008-03-18,1330.74,10167.32,3668.9,1588.75
2008-03-19,1298.42,10438.34,3761.61,1622.23
2008-03-20,1329.51,,3804.05,1623.39
2008-03-21,,10617.42,3796.58,1645.69
2008-03-22,,,,1645.69
2008-03-23,,,,1645.69
2008-03-24,1349.88,10649.29,3626.19,1655.3
2008-03-25,1352.99,10823.67,3629.62,1674.93
2008-03-26,1341.13,10791.24,3606.86,1679.67
2008-03-27,1325.76,10697.36,3411.49,1676.24
2008-03-28,1315.22,10858.04,3580.15,1701.83
2008-03-29,,,,1701.83
2008-03-30,,,,1701.83
2008-03-31,1322.7,10589.3,3472.71,1703.99
2008-04-01,1370.18,10744.6,3329.16,1702.25
2008-04-02,1367.53,11196.13,3347.88,1742.19
2008-04-03,1369.31,11371.4,3446.24,1763.63
2008-04-04,1370.4,11289.24,,1766.49
2008-04-05,,,,1766.49
2008-04-06,,,,1766.49
2008-04-07,1372.54,11450.42,3599.62,1773.56
2008-04-08,1365.54,11252.04,3612.54,1754.71
2008-04-09,1354.49,11076.76,3413.91,1754.71
2008-04-10,1360.55,10960.66,3471.74,1764.64
2008-04-11,1332.83,11230.12,3492.89,1779.71
2008-04-12,,,,1779.71
2008-04-13,,,,1779.71
2008-04-14,1328.32,10940.61,3296.67,1746.71
2008-04-15,1334.43,11026.84,3348.35,1742.17
2008-04-16,1364.71,11160.18,3291.6,1758.56
2008-04-17,1365.56,11335.9,3222.74,1768.67
2008-04-18,1390.33,11435.29,3094.67,1771.9
2008-04-19,,,,1771.9
2008-04-20,,,,1771.9
2008-04-21,1388.17,11678.27,3116.98,1800.48
2008-04-22,1375.94,11495.92,3147.79,1787.49
2008-04-23,1379.93,11532.27,3278.33,1800.79
2008-04-24,1388.82,11466.15,3583.03,1799.34
2008-04-25,1397.84,11744.02,3557.75,1824.68
2008-04-26,,,,1824.68
2008-04-27,,,,1824.68
2008-04-28,1396.37,11907.08,3474.72,1823.17
2008-04-29,1390.94,,3523.41,1811.51
2008-04-30,1385.59,11866.85,3693.11,1825.47
2008-05-01,1409.34,11768.86,,1825.47
2008-05-02,1413.9,12039.13,,1848.27
2008-05-03,,,,1848.27
2008-05-04,,,,1848.27
2008-05-05,1407.49,,3761.01,1848.27
2008-05-06,1418.26,,3733.5,1859.06
2008-05-07,1392.57,12170.87,3579.15,1854.01
2008-05-08,1397.68,11983.17,3656.84,1848
2008-05-09,1388.28,11718.58,3613.49,1823.7
2008-05-10,,,,1823.7
2008-05-11,,,,1823.7
2008-05-12,1403.58,11738.07,3626.98,1823.7
2008-05-13,1403.04,11903.98,3560.24,1842.8
2008-05-14,1408.66,12016.83,3657.43,1843.75
2008-05-15,1423.57,12173.12,3637.32,1885.71
2008-05-16,1425.35,12221.73,3624.23,1888.88
2008-05-17,,,,1888.88
2008-05-18,,,,1888.88
2008-05-19,1426.63,12299.8,3604.76,1885.37
2008-05-20,1413.4,12273.57,3443.16,1873.15
2008-05-21,1390.71,12021.48,3544.19,1847.51
2008-05-22,1394.35,12107.4,3485.63,1835.42
2008-05-23,1375.93,12078.35,3473.09,1827.94
2008-05-24,,,,1827.94
2008-05-25,,,,1827.94
2008-05-26,,11797.93,3364.54,1800.58
2008-05-27,1385.35,12007.54,3375.41,1825.23
2008-05-28,1390.84,11837.15,3459.03,1805.64
2008-05-29,1398.26,12112.8,3401.44,1841.22
2008-05-30,1400.38,12336.67,3433.35,1852.02
2008-05-31,,,,1852.02
2008-06-01,,,,1852.02
2008-06-02,1385.67,12461.34,3459.04,1847.53
2008-06-03,1377.65,12309.76,3436.4,1819.39
2008-06-04,1377.2,12492.96,3369.91,1833.81
2008-06-05,1404.05,12431.9,3351.64,1832.31
2008-06-06,1360.68,12480.98,3329.67,1832.31
2008-06-07,,,,1832.31
2008-06-08,,,,1832.31
2008-06-09,1361.76,12216.75,,1808.96
2008-06-10,1358.44,12083.94,3072.33,1774.38
2008-06-11,1335.49,12151.96,3024.24,1781.67
2008-06-12,1339.87,11893.8,2957.53,1739.36
2008-06-13,1360.03,11977.92,2868.8,1747.35
2008-06-14,,,,1747.35
2008-06-15,,,,1747.35
2008-06-16,1360.14,12253.56,2874.1,1760.82
2008-06-17,1350.93,12257.19,2794.75,1750.71
2008-06-18,1337.81,12326.53,2941.11,1774.13
2008-06-19,1342.83,12028.99,2748.87,1740.72
2008-06-20,1317.93,11861.18,2831.74,1731
2008-06-21,,,,1731
2008-06-22,,,,1731
2008-06-23,1318,11784.34,2760.42,1715.59
2008-06-24,1314.29,11801.25,2803.02,1710.84
2008-06-25,1321.97,11779.42,2905.01,1717.79
2008-06-26,1283.15,11770.12,2901.85,1717.66
2008-06-27,1278.38,11558.96,2748.43,1684.45
2008-06-28,,,,1684.45
2008-06-29,,,,1684.45
2008-06-30,1280,11564.6,2736.1,1674.92
2008-07-01,1284.91,11574.05,2651.61,1666.46
2008-07-02,1261.52,11421.98,2651.72,1623.6
2008-07-03,1262.9,11384.99,2703.53,1606.54
2008-07-04,,11384.15,2669.89,1577.94
2008-07-05,,,,1577.94
2008-07-06,,,,1577.94
2008-07-07,1252.31,11503.15,2792.4,1579.72
2008-07-08,1273.7,11245.21,2814.95,1533.47
2008-07-09,1244.69,11255.69,2920.55,1519.38
2008-07-10,1253.39,11288.9,2875.45,1537.43
2008-07-11,1239.49,11247.35,2856.63,1567.51
2008-07-12,,,,1567.51
2008-07-13,,,,1567.51
2008-07-14,1228.3,11213.05,2878.26,1558.62
2008-07-15,1214.91,10975.31,2779.45,1509.33
2008-07-16,1245.36,10937.15,2705.87,1507.4
2008-07-17,1260.32,11048.71,2684.78,1525.56
2008-07-18,1260.68,10947.43,2778.37,1509.99
2008-07-19,,,,1509.99
2008-07-20,,,,1509.99
2008-07-21,1260,,2861.42,1562.92
2008-07-22,1277,11253.41,2846.12,1561.23
2008-07-23,1282.19,11387.66,2837.85,1591.76
2008-07-24,1252.54,11629.44,2910.29,1626.14
2008-07-25,1257.76,11337.54,2865.1,1597.93
2008-07-26,,,,1597.93
2008-07-27,,,,1597.93
2008-07-28,1234.37,11373.75,2903.01,1598.29
2008-07-29,1263.2,11214.27,2850.31,1567.2
2008-07-30,1284.26,11398.37,2836.67,1577.7
2008-07-31,1267.38,11401.56,2775.72,1594.67
2008-08-01,1260.31,11148.35,2801.82,1573.77
2008-08-02,,,,1573.77
2008-08-03,,,,1573.77
2008-08-04,1249.01,10946.41,2741.74,1543.05
2008-08-05,1284.88,10931.36,2690.75,1535.54
2008-08-06,1289.19,11185.48,2719.37,1578.71
2008-08-07,1266.07,11037.97,2727.58,1564
2008-08-08,1296.32,11037.82,2605.72,1568.72
2008-08-09,,,,1568.72
2008-08-10,,,,1568.72
2008-08-11,1305.32,11205.35,2470.07,1581.09
2008-08-12,1289.59,11129.34,2457.2,1577.12
2008-08-13,1285.83,10912.78,2446.3,1562.72
2008-08-14,1292.93,10868.11,2437.08,1572.19
2008-08-15,1298.2,10916.67,2450.61,1572.19
2008-08-16,,,,1572.19
2008-08-17,,,,1572.19
2008-08-18,1278.6,11055.87,2319.87,1567.71
2008-08-19,1266.69,10808.38,2344.47,1541.41
2008-08-20,1274.54,10791.11,2523.28,1540.71
2008-08-21,1277.72,10719.49,2431.72,1512.59
2008-08-22,1292.2,10655.27,2405.23,1496.91
